"series","episode","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical","result","viewers"
"4",8,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant",5,"OUT",7.41
"4",8,"Kimberley","Wilson",30,"Psychologist","London","Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House",2,"IN",7.41
"4",8,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot",1,"STAR BAKER",7.41
"4",9,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake",3,"OUT",7.41
"4",9,"Kimberley","Wilson",30,"Psychologist","London","Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake",1,"STAR BAKER",7.41
"4",9,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake",2,"IN",7.41
"4",9,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",4,"IN",7.41
"4",10,"Kimberley","Wilson",30,"Psychologist","London","Chicken and Pig Pie","Languages of Love Wedding Cake",1,"Runner-up",9.45
"4",10,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake",2,"Runner-up",9.45
"4",10,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake",3,"WINNER",9.45
"5",1,"Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire","Raspberry and Lemon Swiss Roll","Coffee and Walnut Battenberg Squares",9,"IN",8.51
"5",1,"Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex","Red Velvet and White Chocolate Swiss Roll","Mini Tiered Victoria Sponges",6,"IN",8.51
"5",1,"Jordan","Cox",32,"IT Manager","Sneinton, Nottingham","Kawaii Frasier Swiss Roll","Lemon Drizzle Cakes with Blueberry and Lemon Curd",12,"IN",8.51
"5",1,"Martha","Collison",17,"Student","Ascot, Berkshire","Tiramisu Swiss Roll","Mini Lemon and Thyme Drizzle Cakes",2,"IN",8.51
"5",1,"Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Coffee and Hazelnut Swiss Roll","Jaffa Orange Cakes",1,"STAR BAKER",8.51
"5",1,"Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent","Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream",3,"IN",8.51
"5",1,"Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford","Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes",8,"OUT",8.51
